ID,Name,Review,Netflix,Prime,Year,Director,Lead,Acting,Story,Execution,Profundity,Overall,Poster,Genre,Links,Image,Trailer
1,Mother!,"Arronofsky has very skillfully exposed how vulnerable we are when our privacy is exploited.  But this movie is much more than that. If you're a bit into christian mythology and enjoy having symbolism into your movies, this is the one! I strongly suggest you to read about the movie after it ends and read what it meant. I may go as far as to suggest that this movie lies in the bracket of movies like Fight Club; which received negative reviews upon it's release but after some time is regarded as the modern greats.",0,1,2017,Darren Aronofsky,"Jennifer Lawrence, Javier Bardem",4,3.4,4.3,1.6,3.3,mother.jpg,psychopath,https://xmovies8.si/watch-mother-2017-1080p.27146-hd-online-free/watching.html?episode_id=104182&s=hserver,https://gdurl.com/d_rZ,https://www.youtube-nocookie.com/embed/XpICoc65uh0
2,Shape of Water,"I'm not generally into fantasy movies and especially if it is a love story. But this has completely blown my mind. The story is not that complicated; rather easy to decipher but the way it was executed, the acting is just exceptional.  Del Toro has portrayed the female emotions in a masterful manner and has set the benchmark for the fantasy genre. If you want to watch a heart-warming film which doesn't overdoses on the 'cheesy elements' (unlike other fantasies) and captivates you from start to end, this is the one for you.",0,0,2017,Guillermo del Toro,"Sally Hawkins, Michael Shannon",4.7,4.2,3.9,1.8,3.65,shape of water.jpg,lighthearted,https://xmovies8.si/watch-the-shape-of-water-2017-1080p.60859-hd-online-free/watching.html?episode_id=103851&s=oserver,https://gdurl.com/yNat,https://www.youtube-nocookie.com/embed/XFYWazblaUA
3,Whiplash,"One of my favourite films ever.  One of those powerful and awe-inspiring movie that comes maybe just once a decade. The story line is simple. A boy wants to become a great drummer and his teacher helps him to become one. Simple right? But it didn't get the best academy award for motion picture for nothing. If it doesn't inspire you, nothing can. The cinematography (apart from the acting) is just stunning considering there was no scope for a grandious wide scope shots that generally get the praises. How Chazelle got to make academy winning film from such a simple script is just mind boggling. ",1,1,2014,Damien Chazelle,"Miles Teller, J.K. Simmons",4.8,3.8,4.2,4.2,4.25,whiplash.jpg,inspirational,https://xmovies8.si/watch-whiplash-2014-1080p.50584-hd-online-free/watching.html?episode_id=3419&s=ptserver,https://gdurl.com/N7ZS,https://www.youtube-nocookie.com/embed/7d_jQycdQGo
4,2001: A space odessey,"This movie lies amongst the most influential movies of all times. Almost like the Interstellar of 1970s! The manner in which Kubrick has made this film taking into consideration what technologies he had to work with at that time is simply unbelievable. And as far as story goes, if you're not a fan of symbolism within the movie, I wouldn't particularly recommend this, as Kubrick has kept the movie open-ended and there are quite a few stretches where there would be no dialogue or background score and it would seem that the movie has come to a halt. But once you see the movie and research a bit about it,  you'll never believe what hit you, as the bigger picture this movie portrays answers one of the greatest intellectual questions of all time - where do we come from and where are we going?",1,0,1968,Stanley Kubrick,Kier Dullea,3.7,4.3,4.65,3.75,4.1,2001.jpg,thriller,https://xmovies8.si/watch-2001-a-space-odyssey-1968-1080p.94320-hd-online-free/watching.html?episode_id=219&s=ptserver,https://gdurl.com/xReo,https://www.youtube-nocookie.com/embed/UgGCScAV7qU
5,Midsommar,"One of the most daring films by Ari Aster wherein he experimented wit the idea of a daytime horror film which I should say he executed to perfection. Mind you watching it first time would fill you with complete disgust and the amount of gore in it is insane. But it is one of those gores for which you would develop appreciation for as you give it a long thought. All the elements in the film adds to the suspense and are not there just for the 'horror'. Believe me, if you want to try out something unique and daring, you shouldn't look beyond this.",1,0,2019,Ari Aster,Florence Pugh,4,3,4.75,1.5,3.3,midsommer.png,psychopath,https://xmovies8.si/watch-midsommar-2019-1080p.64227-hd-online-free/watching.html?episode_id=131699&s=oserver,https://gdurl.com/IBsZ,https://www.youtube-nocookie.com/embed/1Vnghdsjmd0
6,A Clockwork Orange,"The best movie by Stanley Kubrick in my opinion. It ranks amongst one of the best revenge-based-movies ever! And by that, I don't mean to only point towards the plot, but also towards the way it was executed. It is more of a stylistic movie than your regular ones. The way the dialogoues are delivered isn't just plain old english but rather seems as if poetry is rolling off from actors mouth. the cinematography is phenomenal and it reaches just the perfect amount of abstractness - not too much to be considered crazy and not too little to be seen as a long shot. Trust me, if you want to have a feel of what Kubrick represents, this is the movie that you should be watching.",1,0,1971,Stanley Kubrick,Malcom McDowell,4.2,4.4,4.1,2.4,3.8,clockwork orange.png,psychopath,https://xmovies8.si/watch-a-clockwork-orange-1971-1080p.17615-hd-online-free/watching.html?episode_id=38059&s=ptserver,https://gdurl.com/o5Kv,https://www.youtube-nocookie.com/embed/SPRzm8ibDQ8
7,Requime for a Dream,"Hands down the best film by Aronofsky. The story line is very very simple. Some kids are doing drugs and how their lives spiral down because of it. But man it shows more than that! It represents how a person longs for love, the feeling of being connected and the need for being recognized. Be warned, it is a dark movie and won't leave you with a happy face. Aronofsky is know to mess with deepest of human desires and this movie is no exception. It really is a gut wrenching movie and shouldn't be watched while you are going through the motions in your life as this movie definitely won't help your case. You've been warned.",0,0,2000,Darren Aronofsky,"Jared Leto, Jennifer Conelly",4.5,3.8,4.6,3.8,4.17,requime for a dream.png,drama,https://xmovies8.si/watch-requiem-for-a-dream-2000-1080p-hd-online-free/watching.html?episode_id=225&s=ptserver,https://gdurl.com/fEhn,https://www.youtube-nocookie.com/embed/QBwzN4v1vA0
8,Perfect Blue,"Satoshi Kon's movies often deals with the blurring of lines between imagination and reality and no movie other than this executes it to perfection than perfect blue. No wonder Aronofsky took inspiration from this movie to shoot some of the scenes in Requime for a dream to showcase a mentally broken character. A true psycho thriller in making. Make sure to keep a keen eye on the story as it takes a lot of twists and turns. And also one more thing, unlike some of the anime movies out there, this one is very dark showing gratuitous rape scenes, violent and gore murders. It isn't very easy on the eyes. But make no mistake as all these elemnents aren't without a cause and definitely leads upto the climax. Looking for a thriller movie night and popcorn, this is right up your ally!",0,0,1997,Satoshi Kon,NA,NA,4.3,4.3,1.5,3.3,perfect blue.jpg,animated,https://xmovies8.si/watch-perfect-blue-1997-1080p.52635-hd-online-free/watching.html,https://gdurl.com/yuqR,https://www.youtube-nocookie.com/embed/Olsdzqe2y9Y
9,Birdman,"In terms of cinematography, this movie lies amongst the very best. The directors have tried to do this as a single shot movie, which I should say the least is done to perfection! These kind of movies are either a hit or miss. If you do it perfectly, it makes the movie engaging and absorbing, but if you do even a slight mistake, it leaves a foul taste in mouth. So when I say it is the best single-shot movie out there, I mean it! As far as the story is concerned, it has quite a contemporaray take, as in there isn't a proper plot or climax or anything, but still, the way it has been executed and that it has one an oscar says lot about it! I can go on and on but I leave it to you guys to see this masterpiece for yourself and don't worry, it is so much worth your time!",0,0,2014,Alejandro Inarritu,"Michael Keaton, Emma Stones",4.5,3.2,4.6,3.5,3.95,birdman.jpg,drama,https://xmovies8.si/watch-birdman-or-1080p.36554-hd-online-free/watching.html,https://gdurl.com/ZoPG,https://www.youtube-nocookie.com/embed/egYzOALlYyU
10,Parasite,"One of the very few movies out there who are able to cover the complete spectrum of human emotions - from laughter, happiness to sadness and sorrow to even horror and suspense! The film has an amazing storyline which takes twists and turns at the right places so that it retains the viewer's interest. It is that kind of movie where you wouldn't want to leave your sear for even a one second! And it follows the perfect graph of story telling too! Starts with the right pace, picks up a bit of speed to pique interest, then slows down a bit to let you register it and when you think nothing exciting would happen, it bulldozes you with an amazing climax! A must watch!",0,0,2019,Boong-Joon Ho,Kang-Ho Song,3.4,4.5,3.8,1.3,3.25,parasite.jpg,international,https://xmovies8.is/parasite-stream-1489846.html,https://gdurl.com/Lb-c,https://www.youtube-nocookie.com/embed/5xH0HfJHsaY
11,Blood Diamond,"How this movie remains so underrated is something I might never understand! Not the very best of Leo but still quite spactacular! Of course it lacks the beauty that is required to name itself amongst the brackets of Revenanat but the storyline itself is so engaing that it earns it spot in my blog. If you want to watch a movie for which you don't have to analyse much but still at the same time should be interesting enough to keep you on the edge of your seat, this is the one for you. Let's just say if you guys liked watching Narcos - which was based on a true story but the directors managed NOT to make it like a documentary, you would 110% enjoy it. ",0,1,2006,Edward Zwick,"Leonardo DiCaprio, Jennifer Conelly",3.3,3.8,3.4,1.9,3.1,blood.jpg,true-story,https://xmovies8.si/watch-blood-diamond-2006-1080p.65058-hd-online-free/watching.html?episode_id=240&s=ptserver,https://gdurl.com/g46S,https://www.youtube-nocookie.com/embed/yknIZsvQjG4
12,Inception,"I guess this movie doesn't require much of a review as I'm sure by the word of mouth or via the general rave this movie got speaks volumes in itself. But still if looked at it via a filmaker's PoV, it is a masterpiece. It has been strongly suggested that Nolan got the inspiation for it from the Satoshi Kon's Paparika. But although having the advantage of having an animeic medium for story telling, it couldn't get the polt across as easily as the directors would've wanted. But Nolan has executed it to perfection! (Although I'm sure a majority would've had to see the movie twice or thrice to get a grip on it!). It is now only can one marvel at the ease with which the scenes are shown so as to get more than a faint idea of what's going on!",0,1,2010,Christopher Nolan,Leonardo DiCaprio,3.3,4.3,4.5,1.7,3.45,inception.jpg,thriller,https://xmovies8.si/watch-inception-2010-1080p.12467-hd-online-free/watching.html?episode_id=12135&s=oserver,https://gdurl.com/K0eX,https://www.youtube-nocookie.com/embed/8hP9D6kZseM
13,Shutter Island,"This is that movie which you should watch on a dark rainy night with a big bowl of popcorn and a warm blanket; in short, a perfect blockbuster! The script is excellent and unlike many suspense movies, the climax lives up (exceede, dare I might say!) to the buildup. It would keep you guessing, on the toes and would venture out to just near the edge of insanity where even the familiarity of the narrator or the protagonist wouldn't give you the comfort of control over what's going on! But wait! This wouldn't kill your interest. The movie doesn't over-milk the thriller essence but rather allows one to get to terms with it slowly and surely. I say, this is one of the best thriller-suspens emovies out there and definitely worth your time!",0,1,2010,Martin Scorsese,Leonardo DiCaprio,3.1,3.8,3.1,1.5,2.95,shutter island.jpg,thriller,https://xmovies8.si/watch-shutter-island-2010-1080p-hd-online-free/watching.html?episode_id=12357&s=hserver,https://gdurl.com/7fHE,https://www.youtube-nocookie.com/embed/5iaYLCiq5RM
14,The Shawshank Redemption,"""Hope is a good a good thing, maybe the best of things. And good thing never dies."" There's nothing left to say about this movie as there are thousands and thousands of webpages online which have disected the movie to it's purest elements. So it comes as no surprise when it was given the title of being a US national Treasure! Once again - a really simple concept. Man goes to Jail and tries to escape it; a mark of a truly great film. But the way the dynamics are portrayed between the protagonists, his friends, the Warden is so exceptional that it trancends the feeling of watching a movie. You feel yourself become one of the prisoners of Shawshank itself; aided by the spectacular narration of Morgan Freeman. I won't say more about this - just that this is one of those movies which you have and have to watch before you die.",1,1,1994,Frank Darabont,Tim Robbins,3.4,4.8,4.3,4.7,4.3,shawshank.jpg,inspirational,https://xmovies8.is/the-shawshank-redemption-stream-66877.html,https://gdurl.com/5LE0,https://www.youtube-nocookie.com/embed/SuwD1NDEVJ8
15,Forrest Gump,"Probably the most complete movie out there. It is one of those few films which encompases all the emotions into one 'reel' - comedy,adventure,meloncholy,romance, you name it! The best thing that I like about this movie is that it does not have a definite story path. There's no motive or reason to why the protaginist is behaving in such manner. But that's what makes it such a fun to watch as we go on a hilarious yet heart warming journey with Forrest Gump. Apart from that, it has a lot of easter eggs spread evenly which openly mocks some of the infamous moments of the 60s. Keep an eye out for them! I would say this is one of the few light hearted movies which you should definitely watch if you crave something funny yet warm movie.",0,1,1994,Robert Zemeckis,Tom Hanks,4.3,4.4,3.8,4.3,4.2,forrest gump.jpg,lighthearted,https://xmovies8.si/watch-forrest-gump-1994-1080p.68908-hd-online-free/watching.html?episode_id=12540&s=hserver,https://gdurl.com/vRtX,https://www.youtube-nocookie.com/embed/bLvqoHBptjg
16,Interstellar,"Directing movies related to space is always tricky. You either need to have a jaw dropping storry line like 2001, or have stunning visuals like Graavity did. But Interstellar masterfully combines both and executes it to perfection. Like trademark of many of Nolan's movies, you will have to watch it twice or thrice to properly understand what actually is happening! (especially the climax).All the elements in this film add on to the story and have a well defined role to play. The reasoning that Nolan provides for each twist and turns are logical and believable. And of course, the amazing background score by Hans Zimmer enhances the feel of the movie!",0,1,2014,Christopher Nolan,Matthew McConaughey,3.3,4.3,4.5,1.8,3.45,interstellar.jpg,thriller,https://xmovies8.si/watch-interstellar-2014-1080p.56844-hd-online-free/watching.html?episode_id=5187&s=hserver,https://gdurl.com/fRaR,https://www.youtube-nocookie.com/embed/zSWdZVtXT7E
17,The wolf of wall street,"This is a movie which appeals to a very specific set of people. A fairly long movie with a few jargons related to finance (but easy to understand thanks to the narration provided inbetween), but if you give it a little try, this movie is a masterclass! The acting by Leo is just fantastic and what makes you appreciate that sentiment more is the fact that how many emotions he had to portray in the film! From euphoria to horror to cunningness to just plain stupidity even! And the acting itself says a lot about the storyline where you wouldn't exactly empathise or relate (unless you're a trader on Wall Street itself!) but rather accept and like him as a shrewd and fun-loving person! Overall, a hugely entertaining movie!",1,1,2013,Martin Scorsese,Leonardo DiCaprio,3.9,3.8,3.4,1.1,3.1,wolf of wallstreet.png,true-story,https://xmovies8.is/the-wolf-of-wall-street-stream-72130.html,https://gdurl.com/wCS3,https://www.youtube-nocookie.com/embed/iszwuX1AK6A
18,Black Swan,"There's something about those movies which focuses on the protagonist who tries to reach perfection. Either it goes astray and leave a dull taste behind, or those, which just nails it like Whiplash did. Balck Swan is the later. A ballerina's  quest to be the best of herself and slowly in the way losing her mind to her devotion.  Nothing more can be said about the acting by Natalie Portman (who recieved an oscar for it) and the intelligent cinematography which very skillfully the blurring of reality of our protagonist. If you are looking for some inspiration with a dash of psychotic elements, this is right up your alley! ",0,0,2010,Darren Aronofsky,Natalie Portman,4.6,3.4,3.7,2.6,3.55,black swan.jpg,psychopath,https://xmovies8.si/watch-black-swan-2010-1080p.27270-hd-online-free/watching.html?episode_id=12346&s=hserver,https://gdurl.com/1NwL,https://www.youtube-nocookie.com/embed/B7nU1RCkrnQ
